hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Nan House - Tam Coc,"20.2085196586588,105.939998805771",6 km from centre,,Standard Twin Room with Garden View,,2,3 out of 5,9.4,Superb,106 reviews,"VND 629,856",
Emeralda Resort Ninh Binh,"20.3372028143704,105.853164196014",15 km from centre,,Superior Double or Twin Room,,2,5 out of 5,8.3,Very good,463 reviews,"VND 3,003,000",Breakfast included
Mua Caves Ecolodge (Hang Mua),"20.2315628064522,105.939501821995",4.5 km from centre,,Family Room with Mountain View,,2,,8.2,Very good,769 reviews,"VND 811,118","Breakfast included,FREE cancellation,• No prepayment needed"
The Reed Hotel,"20.2718842980303,105.977039337158",2 km from centre,,Deluxe Twin Room,,2,4 out of 5,8.7,Fabulous,242 reviews,"VND 912,170",
Tam Coc La Montagne Resort & Spa,"20.2181324302147,105.917964427834",7 km from centre,,Classis Garden View,,2,4 out of 5,8.4,Very good,171 reviews,"VND 1,316,000",Breakfast included
MOMALI Hotel Ninh Binh,"20.249366,105.97574",550 m from centre,,Superior Queen Room,,2,3 out of 5,9.1,Superb,85 reviews,"VND 547,281",Breakfast included
Tam Coc Garden Resort,"20.2108777358013,105.907808840275",8 km from centre,,Deluxe Double or Twin Room,,2,4 out of 5,9.3,Superb,236 reviews,"VND 3,600,000",Breakfast included
Ninh Binh Hidden Charm Hotel & Resort,"20.2175358425374,105.942615866661",5 km from centre,,Superior Double or Twin Room,,2,5 out of 5,9.1,Superb,370 reviews,"VND 1,515,074",Breakfast included
Bai Dinh Garden Resort & Spa,"20.2769115221492,105.85787966922",12 km from centre,,Deluxe Double or Twin Room with Garden View,,2,4 out of 5,8.9,Fabulous,275 reviews,"VND 1,142,400",Breakfast included
Le Clos Du Fil,"20.216548,105.938912",5 km from centre,,Standard Double Room,,2,3 out of 5,9.0,Superb,42 reviews,"VND 1,170,000","Breakfast included,FREE cancellation,• No prepayment needed"
Tam Coc Holiday Hotel & Villa,"20.2177099805723,105.93724047158",5 km from centre,,Deluxe Double Room with Pool View,,2,3 out of 5,9.5,Exceptional,833 reviews,"VND 550,000",
Ninh Binh Legend Hotel,"20.2744315468601,105.958510637283",2.9 km from centre,,Superior Double Room,,2,4 out of 5,8.9,Fabulous,273 reviews,"VND 1,260,000","Breakfast included,FREE cancellation,• No prepayment needed"
Tam Coc Condeluz Boutique Hotel,"20.2150759486625,105.937236507935",5 km from centre,,Deluxe Double or Twin Room with Garden View,,2,3 out of 5,9.9,Exceptional,41 reviews,"VND 580,500","Breakfast included,FREE cancellation,• No prepayment needed"
An's Eco Garden Resort,"20.2655404675711,105.928742507241",5 km from centre,,Studio Twin Lake View,,2,4 out of 5,8.5,Very good,160 reviews,"VND 1,017,500","Breakfast included,FREE cancellation,• No prepayment needed"
Tam Coc Sky Bungalow,"20.215203,105.928982",6 km from centre,,King Room with Garden View,,2,,,,,"VND 952,000",Breakfast included
Trang An River View Homestay,"20.2654052837002,105.921709054201",5 km from centre,,Standard Double Room,,2,,9.2,Superb,438 reviews,"VND 468,720","Breakfast included,FREE cancellation,• No prepayment needed"
Tam Coc Rice Fields Resort,"20.2141012156263,105.907406508923",8 km from centre,,Bungalow with Garden View,,2,3 out of 5,8.2,Very good,271 reviews,"VND 824,189",
