hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Khách sạn Hoàng My,"13.0950612301869,109.317754682209",,,Standard King Room,,2,2 out of 5,8.6,Fabulous,135 reviews,"VND 249,000",
Stelia Beach Resort,"13.11424,109.308118",,,Premier Garden View,,2,5 out of 5,9.2,Superb,114 reviews,"VND 1,900,000",Breakfast included
Vietstar Resort & Spa,"13.1727605524461,109.282927662134",,,Superior Room,,2,5 out of 5,8.4,Very good,58 reviews,"VND 1,650,000",Breakfast included
Zannier Hotels Bai San Hô,"13.544461,109.275719",,,Paddy Field Villa,,2,5 out of 5,,,,"VND 11,300,000",Breakfast included
Sao Mai Beach Resort,"13.1518926089393,109.291749660917",,,Deluxe Villa,,2,,8.6,Fabulous,27 reviews,"VND 2,394,000",Breakfast included
Rosa Alba Resort,"13.109951,109.308785",,,Studio Twin Ocean View,,2,5 out of 5,8.2,Very good,128 reviews,"VND 1,800,000",Breakfast included
Coralina Hotel,"13.10011,109.315956",,,Standard Double Room,,2,,8.2,Very good,8 reviews,"VND 550,000","FREE cancellation,• No prepayment needed"
Hotel Hiệp Thành,"13.085874,109.311668",,,Standard Double Room,,2,2 out of 5,9.1,Superb,97 reviews,"VND 230,000",
Aries Hotel,"13.097724,109.316856",,,Standard Double Room (No Window),,2,,8.3,Very good,241 reviews,"VND 370,000","FREE cancellation,• No prepayment needed"
Rome Hostel,"13.101131,109.310323",,,Superior Double Room,,2,,8.8,Fabulous,55 reviews,"VND 335,700",
Que Toi Village,"13.4662689262432,109.228051134922",,,Villa - Beach Front,,2,,8.9,Fabulous,98 reviews,"VND 1,891,000",Breakfast included
Mây Homestay,"13.0999347047426,109.306941113279",,,Twin Room with Private Bathroom,,2,,9.5,Exceptional,7 reviews,"VND 200,000",
STAR Hotel Restaurant,"13.085007,109.307269",,,Standard Double Room,,2,2 out of 5,8.3,Very good,253 reviews,"VND 291,600","Breakfast included,FREE cancellation,• No prepayment needed"
NẮNG HOMESTAY,"13.095214,109.313987",,,Double Room,,2,,9.2,Superb,120 reviews,"VND 190,000",
Khách sạn Phú Yên - BaKa Hotel,"13.1028422097538,109.308363494721",,,Quadruple Room,,4,2 out of 5,9.0,Superb,37 reviews,"VND 350,000",
Tuy Hòa Beach Hotel - Căn hộ du lịch,"13.1103062727471,109.308628090773",,,Deluxe Queen Room,,2,,8.9,Fabulous,30 reviews,"VND 300,000",
Green Oasis Hotel,"13.0930860902918,109.322951785389",,,King Room,,2,,8.4,Very good,44 reviews,"VND 500,000",Breakfast included
ELITE HOME,"13.101744,109.308506",,,King Room,,2,,8.5,Very good,22 reviews,"VND 403,000",
LUXURY HOTEL,"13.1037760828312,109.312992680023",,,Single Room with Sea View,,2,,,,,"VND 350,000",
Sai Gon Phu Yen Hotel,"13.0905743378306,109.32227805159",,,Superior Double Room,,2,4 out of 5,7.0,Good,30 reviews,"VND 850,000","Breakfast included,FREE cancellation,• No prepayment needed"
Royal Khanh Hotel,"13.0918173875061,109.306921005828",,,Superior Double Room,,2,3 out of 5,9.5,Exceptional,6 reviews,"VND 493,050","Breakfast included,FREE cancellation,• No prepayment needed"
Long Beach Hotel,"13.1004619855264,109.318513870239",,,Deluxe Twin Room,,2,3 out of 5,6.1,Review score,45 reviews,"VND 498,823",Breakfast included
Thy Hung legacy hotel,"13.101207,109.3089",,,Deluxe Double Room,,2,1 out of 5,8.7,Fabulous,64 reviews,"VND 180,000",
Ivory Phu Yen Hotel,"13.107152110884,109.310517979168",,,Superior King Room,,2,,8.2,Very good,11 reviews,"VND 594,000",Breakfast included
CenDeluxe Hotel,"13.0830900593048,109.294145702734",,,Premium Room,,2,5 out of 5,6.9,Review score,37 reviews,"VND 1,382,500","Breakfast included,FREE cancellation,• No prepayment needed"
Hotel Royal,"13.1028960417191,109.305380910515",,,Double Room,,2,,8.4,Very good,104 reviews,"VND 240,000",
Viva Hotel Phú Yên,"13.094877,109.319233",,,Triple Room,,3,,9.0,Superb,11 reviews,"VND 400,000",
Royal Palms Hotel,"13.099488,109.314331",,,Superior Twin Room,,2,,8.8,Fabulous,33 reviews,"VND 378,000","FREE cancellation,• No prepayment needed"
Song Cau Beach Hotel Phu Yen,"13.5722441189282,109.287401666779",,,Queen Room with Garden View,,2,,8.5,Very good,11 reviews,"VND 450,000","Breakfast included,FREE cancellation,• No prepayment needed"
Dac Tin Luxury Hotel,"13.092397,109.313612",,,Double Room,,2,,8.3,Very good,15 reviews,"VND 330,000",Breakfast included
Daisy House,"13.093312,109.300834",,,Double Room with Private Bathroom,,2,,8.9,Fabulous,44 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
HOA LOI RESORT,"13.5331706075704,109.278392272491",,,Standard Bungalow with Sea View,,2,3 out of 5,7.7,Good,7 reviews,"VND 823,200",Breakfast included
Khách Sạn Nghĩa Lam Trà,"13.101262,109.308657",,,Standard Queen Room,,2,3 out of 5,,,,"VND 350,000",
Van An 2 Hotel,"13.1032090744069,109.313483135774",,,Deluxe Double Room,,2,1 out of 5,8.7,Fabulous,36 reviews,"VND 198,900",
HANDstay,"13.088533,109.313745",,,Double Room,,2,,9.3,Superb,13 reviews,"VND 300,000",
Heritage Hotel,"13.10284,109.312938",,,Large Double Room,,2,,9.4,Superb,15 reviews,"VND 320,000","FREE cancellation,• No prepayment needed"
HOÀNG KIM HOTEL,"13.103569,109.312768",,,Deluxe Double Room with Balcony and Sea View,,4,2 out of 5,,,,"VND 450,000",
BEN HOUSE,"13.089541,109.31383",,,Standard King Room,,2,,,,,"VND 280,000",
G9 Hotel,"13.1031658171899,109.30773474756",,,Twin Room with Bathroom,,2,,9.3,Superb,3 reviews,"VND 300,000",
Hồng Hạc Hotel,"13.114694,109.298512",,,Twin Room,,2,,8.8,Fabulous,25 reviews,"VND 360,000","FREE cancellation,• No prepayment needed"
HANID Hotel,"13.1018543992483,109.31393738623",,,King Room,,2,,8.6,Fabulous,225 reviews,"VND 250,000",
Kool House,"13.0895505082563,109.313644617344",,,Double Room,,2,,8.8,Fabulous,129 reviews,"VND 350,000",
Kelsey Apartment,"13.116679,109.298059",,,Deluxe Double Room with Balcony,,2,,,,,"VND 300,000",
T99 Hotel,"13.092799,109.322127",,,Deluxe Twin Room,,2,2 out of 5,4.7,Review score,3 reviews,"VND 300,000",
Nhà Nghỉ An Phát,"12.9935426176462,109.382362965157",,,Double Room,,2,,8.9,Fabulous,15 reviews,"VND 180,000",
Queen Hotel,"13.099343,109.310057",,,Large Double Room,,2,,8.5,Very good,28 reviews,"VND 250,000",
Bee Homestay,"13.0956249,109.3167694",,,Deluxe Double Room,,2,,9.2,Superb,9 reviews,"VND 223,100",
Kim Ngoc Khanh Hotel,"13.1189122024261,109.293960579376",,,Deluxe Queen Room,,2,2 out of 5,8.7,Fabulous,208 reviews,"VND 200,000",
