hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Quang Binh,"17.467376,106.625486",,,Deluxe Twin City View,,2,5 out of 5,9.4,Superb,257 reviews,"VND 1,000,000",Breakfast included
Muong Thanh Luxury Nhat Le Hotel,"17.4867425758527,106.627265810966",,,Deluxe Twin Room,,2,5 out of 5,8.2,Very good,292 reviews,"VND 920,000","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Holiday Quang Binh Hotel,"17.4861991996706,106.62700629472",,,Deluxe Twin Room,,2,4 out of 5,7.8,Good,73 reviews,"VND 825,000","Breakfast included,FREE cancellation,• No prepayment needed"
Funny Monkeys Homestay,"17.6103027030812,106.302875352123",,,Standard Double Room,,2,,9.5,Exceptional,256 reviews,"VND 405,000","FREE cancellation,• No prepayment needed"
CKC Thien Duong Hotel,"17.4791451107219,106.623983375147",,,Standard Twin Room,,2,3 out of 5,8.2,Very good,94 reviews,"VND 495,000","FREE cancellation,• No prepayment needed"
Phong Nha Coco Riverside,"17.6099421985929,106.302509139534",,,Family Room with Garden View,,2,,9.2,Superb,116 reviews,"VND 530,910",Breakfast included
Vinh Hoang Hotel,"17.4875097308807,106.627142429351",,,Superior Double Room,,2,4 out of 5,8.5,Very good,278 reviews,"VND 779,742","Breakfast included,FREE cancellation,• No prepayment needed"
Gold Coast Hotel Resort & Spa,"17.463053580133,106.642358679346",,,Superior Twin Room with City View,,2,5 out of 5,8.7,Fabulous,86 reviews,"VND 994,500","Breakfast included,FREE cancellation,• No prepayment needed"
THE NEST QUANG BINH,"17.4792245044809,106.621465457672",,,Double Room with Balcony,,2,,9.3,Superb,46 reviews,"VND 345,000",
Phong Nha Coco House,"17.6094458135427,106.302450299263",,,Deluxe Double Room,,2,1 out of 5,9.1,Superb,505 reviews,"VND 360,000","Breakfast included,FREE cancellation,• No prepayment needed"
