hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Song Châu Villa,"20.861838,107.491719",10 km from centre,Beach nearby,Comfort Quadruple Room,,3,,,,,"VND 558,600",
Starlight Boutique Hotel,"20.968515,107.764058",22 km from centre,Beach nearby,Superior Quadruple Room,,2,3 out of 5,9.3,Superb,46 reviews,"VND 1,600,000",
Minh Duc Hotel Quang Ninh,"21.4510929197785,107.75421750528",61 km from centre,,Twin Room with View,,2,4 out of 5,9.0,Superb,4 reviews,"VND 891,457",
Hotel Ngoc Anh - Van Don,"21.0455526876494,107.388199821518",20 km from centre,"Beachfront,Private beach",Standard King Room,,2,2 out of 5,7.2,Good,13 reviews,"VND 440,000",
Hương Cảng Hotel,"21.4548440344935,107.762081673958",62 km from centre,,Deluxe Double Room,,3,3 out of 5,,,,"VND 499,000",
Minh Chau Pearl Hotel & Spa - Quan Lan Island,"20.943786,107.549138",1.2 km from centre,Beachfront,Standard Double or Twin Room,,2,4 out of 5,,,,"VND 2,052,000",
Cường Thịnh Homestay,"20.9886361176724,107.75283618512",21 km from centre,Beachfront,Standard Double Room,,2,,8.4,Very good,51 reviews,"VND 250,000",
Nhà Nghỉ Tuấn Dương,"20.861838,107.491719",10 km from centre,Beach nearby,Double Room with Balcony,,4,,,,,"VND 400,000",
Mina House,"20.9408361695981,107.547450364509",900 m from Quang Ninh,Beach nearby,Double Room with Garden View,,2,,7.3,Good,6 reviews,"VND 700,000",
Thiên Đường Quan Lạn,"20.884534,107.512056",6 km from Quang Ninh,Beach nearby,Twin Room with Terrace,,8,3 out of 5,,,,"VND 1,500,000",
Tuan Thuy Guesthouse,"20.8741967535404,107.492615970856",8 km from Quang Ninh,Beach nearby,Triple Room,,3,3 out of 5,8.1,Very good,29 reviews,"VND 300,000",
Quan Lan Nam Phong Hotel,"20.8684770538398,107.493020775795",9 km from Quang Ninh,Beachfront,Deluxe Quadruple Room,,2,1 out of 5,8.1,Very good,59 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Hải Lưu Hotel,"21.065121,107.424283",19 km from Quang Ninh,Beachfront,Double Room with Private Bathroom,,2,1 out of 5,8.2,Very good,12 reviews,"VND 500,000",
Hoàng Grand,"21.071226,107.420806",20 km from Quang Ninh,Beachfront,Quadruple Room with Mountain View,,4,1 out of 5,7.9,Good,33 reviews,"VND 500,000",
Cẩn thận mất tết,"21.0652896,107.4185852",20 km from Quang Ninh,Beach nearby,Two-Bedroom Apartment,,2,,,,,"VND 128,000",
Coto Center Homestay,"20.9947858640419,107.749936171333",21 km from Quang Ninh,Beach nearby,Deluxe Room (2 Adults + 1 Child),,3,,9.7,Exceptional,48 reviews,"VND 450,000",
Phuc lam restaurant & Hotel,"21.010483,107.745069",22 km from Quang Ninh,"Beachfront,Private beach",Standard Single Room with Sea View,2 ×,1,,,,,"VND 1,000,000",
Hotel Khương Trang,"20.972178,107.764205",22 km from Quang Ninh,Beachfront,Quadruple Room with Private Bathroom,,2,2 out of 5,,,,"VND 480,000",
Homestay Cô Tô Haki,"20.993715,107.757699",22 km from Quang Ninh,Beachfront,Quadruple Room with Private Bathroom,,4,,8.2,Very good,5 reviews,"VND 450,000",
Golden Coto Hotel,"20.972143,107.767761",23 km from Quang Ninh,Beach nearby,Standard King Room,,2,3 out of 5,8.9,Fabulous,19 reviews,"VND 712,500","FREE cancellation,• No prepayment needed"
Nhà nghỉ thắm giáp,"21.001534,107.76945",24 km from Quang Ninh,Beach nearby,Double Room,,4,,,,,"VND 525,000",
