hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Muong Thanh Luxury Son La,"21.327765,103.911891",1.2 km from centre,,Deluxe Twin Room,,2,5 out of 5,8.7,Fabulous,74 reviews,"VND 1,105,000",Breakfast included
Fairyhouse Mộc Châu,"20.823465,104.630085",94 km from centre,,Chalet,,2,,7.2,Good,21 reviews,"VND 616,000",Breakfast included
Cosyhotel Sơn La,"21.339017,103.910489",1.6 km from centre,,Standard Twin Room,,2,2 out of 5,9.1,Superb,83 reviews,"VND 510,300",
Windsor Hotel Son La,"21.305148,103.933025",4.2 km from centre,,Standard Double or Twin Room,,2,3 out of 5,7.5,Good,69 reviews,"VND 355,000",Breakfast included
Phong Lan Hotel,"21.334701035209,103.907179224537",1 km from centre,,Deluxe Single Room,,2,2 out of 5,7.8,Good,45 reviews,"VND 340,000",
Lưng đồi homestay,"20.8548746687229,104.613340860914",90 km from centre,,Standard Bungalow,,2,,8.9,Fabulous,15 reviews,"VND 315,000",
Homestay Đỉnh Tà Xùa,"21.278828,104.466507",58 km from centre,,Family Room with Mountain View,,7,,,,,"VND 1,760,000",
Khách sạn Hoàng Sơn,"21.289992,103.96532",7 km from centre,,Twin Room,,2,3 out of 5,7.2,Good,5 reviews,"VND 400,000",
Khách sạn Hương Sen Yên Châu,"21.047181,104.299197",51 km from centre,,Superior Twin Room,,2,2 out of 5,,,,"VND 350,000",
Homestay Pha Đin Top,"21.050448,104.311966",52 km from centre,,Double Room with Balcony,,2,,,,,"VND 470,000",
Du lịch cộng đồng Ngọc Chiến,"21.65028,104.265738",52 km from centre,,Mixed Dormitory Room,,14,3 out of 5,,,,"VND 1,400,000",
Pu Nhi Farm managed by AA Hospitality,"21.232154,104.463689",59 km from centre,,Standard Bungalow,,2,,,,,"VND 500,000",
Trung Kiên Hotel,"21.694791,103.615663",50 km from centre,,10-Bed Mixed Dormitory Room,,10,3 out of 5,,,,"VND 150,000",
Hợp tác xã Du lịch cộng đồng Ngọc Chiến,"21.65028,104.265738",52 km from centre,,Three-Bedroom Bungalow,,8,,,,,"VND 400,000",
Hoa Lu Hotel,"21.303462,103.93696",4.7 km from Sơn La,,Twin Room with View,,2,,7.8,Good,10 reviews,"VND 396,399",
