hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Thanh Hoa,"19.809401,105.777482",,,Deluxe King City View,,2,5 out of 5,8.8,Fabulous,278 reviews,"VND 1,000,000",Breakfast included
Puluong Home,"20.44517,105.150174",,,Double Room with Garden View,,2,,8.6,Fabulous,216 reviews,"VND 620,000",Breakfast included
Pu Luong Natura,"20.4482396231345,105.156212177392",,,Bed in 10-Bed Mixed Dormitory Room,,2,,9.2,Superb,137 reviews,"VND 900,000","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Grand Thanh Hoa Hotel,"19.7825393853397,105.778378844261",,,Deluxe Twin Room,,2,4 out of 5,8.5,Very good,147 reviews,"VND 840,336",Breakfast included
FLC Luxury Hotel Samson,"19.7644960687555,105.917826890945",,,Studio Suite,,2,5 out of 5,7.4,Good,263 reviews,"VND 2,015,000",Breakfast included
Pu Luong Eco Garden,"20.470327437425,105.119570522788",,,Double Room with Mountain View,,2,,8.7,Fabulous,334 reviews,"VND 1,300,000",Breakfast included
PU LUONG BOUTIQUE GARDEN,"20.4496384741179,105.153266720871",,,Bed in 10-Bed Mixed Dormitory Room,,2,,8.6,Fabulous,49 reviews,"VND 532,435",Breakfast included
Pu Luong Ecocharm,"20.44517,105.150174",,,Bungalow,,2,,8.8,Fabulous,30 reviews,"VND 1,500,000",Breakfast included
Puluong Ohayo,"20.446740493129,105.155108113106",,,Twin Room with Garden View,,2,,9.3,Superb,18 reviews,"VND 816,000","FREE cancellation,• No prepayment needed"
Nghi Son hotel,"19.33647,105.799477",,,Economy Double Room,,2,,8.8,Fabulous,13 reviews,"VND 880,000",Breakfast included
Semec Hotel Nghi Son,"19.3860988537804,105.744351816956",,,Superior King Room,,2,3 out of 5,6.5,Review score,18 reviews,"VND 396,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách Sạn Phượng Hoàng 3,"19.808159,105.779328",,,Twin Room,,2,4 out of 5,8.6,Fabulous,18 reviews,"VND 600,000",Breakfast included
HOẰNG MINH HOTEL,"19.764485,105.916469",,,King Room with Balcony,,4,,8.2,Very good,10 reviews,"VND 500,000",Breakfast included
Dai Viet Hotel,"19.8119528428353,105.773114255295",,,Superior Twin Room,,2,3 out of 5,8.7,Fabulous,218 reviews,"VND 656,000","Breakfast included,FREE cancellation,• No prepayment needed"
Pu Luong Riverside Lodge,"20.469079,105.220264",,,Deluxe Bungalow with Garden View,,2,,9.0,Superb,41 reviews,"VND 242,000",Breakfast included
Xuan Thanh Hotel,"19.81371,105.792741",,,Standard Double Room,,2,,8.5,Very good,100 reviews,"VND 229,000",
Khách sạn Hoàng Thái,"19.736492,105.898124",,,Large Double or Twin Room,,4,3 out of 5,8.3,Very good,13 reviews,"VND 600,000",
Palm Hotel Thanh Hoa,"19.81205920528,105.773016605526",,,Deluxe Twin Room,,2,3 out of 5,8.7,Fabulous,91 reviews,"VND 666,000","Breakfast included,FREE cancellation,• No prepayment needed"
Phuong Hoang Hotel,"19.7988047128469,105.804859603766",,,Deluxe Double Room,,2,3 out of 5,8.2,Very good,20 reviews,"VND 440,000",Breakfast included
FLC Grand Hotel Samson,"19.757601,105.914308",,,Grand Comfort Room,,2,5 out of 5,7.7,Good,172 reviews,"VND 2,015,000",Breakfast included
Long Anh Hotel,"19.804727,105.77801",,,Superior Double Room,,2,,8.9,Fabulous,112 reviews,"VND 630,000","Breakfast included,FREE cancellation,• No prepayment needed"
Van Chai Resort,"19.7571578782236,105.914184451103",,,Superior Double or Twin Room with Garden View,,2,4 out of 5,8.1,Very good,81 reviews,"VND 1,454,640",Breakfast included
Anh Phat Resort,"19.3442924647498,105.730418948303",,,Deluxe King Suite,,2,4 out of 5,,,,"VND 1,320,000",Breakfast included
Khách Sạn Trống Đồng,"19.812033437621,105.779964734779",,,Deluxe Double Room,,2,,8.8,Fabulous,161 reviews,"VND 550,000",
Anh Phat Inn,"19.3369681578373,105.798056870699",,,Standard Suite,,2,3 out of 5,8.5,Very good,15 reviews,"VND 1,045,000","FREE cancellation,• No prepayment needed"
Phúc Đức Motel,"19.79974,105.788432",,,Double Room,,2,3 out of 5,8.4,Very good,40 reviews,"VND 220,000","FREE cancellation,• No prepayment needed"
FLC Luxury Resort Samson,"19.7645340947728,105.917885899544",,,Pool Villa,,2,5 out of 5,7.9,Good,28 reviews,"VND 3,055,000",Breakfast included
Ciel de Puluong Resort,"20.4452061883416,105.156795084023",,,King Room with Mountain View,,2,,8.4,Very good,48 reviews,"VND 1,417,500",Breakfast included
Pu Luong Holiday,"20.4610423143188,105.214636068732",,,Double Room,,2,,9.0,Superb,118 reviews,"VND 774,000",
Anh Quang Hotel,"19.84688,105.936163",,,Quadruple Room with Garden View,,4,3 out of 5,8.1,Very good,8 reviews,"VND 550,000",Breakfast included
Dragon Sea Hotel,"19.7356633793144,105.901489520771",,,Deluxe Twin Room with City Sea View,,2,4 out of 5,8.5,Very good,53 reviews,"VND 1,946,500",
Central Hotel Thanh Hoa,"19.7852626670406,105.816982537508",,,Deluxe Double Room,,2,5 out of 5,8.8,Fabulous,56 reviews,"VND 1,000,000","Breakfast included,FREE cancellation,• No prepayment needed"
Lua Pu Luong,"20.434805,105.137591",,,Bungalow,,2,,9.7,Exceptional,15 reviews,"VND 2,240,000","Breakfast included,FREE cancellation,• No prepayment needed"
Phương Thuỷ Hotel,"19.730532,105.899474",,,Twin Room with Sea View,,4,,8.0,Very good,25 reviews,"VND 300,000",
Khách Sạn Phú Hồng 3 Sầm Sơn,"19.766346,105.919168",,,Bed in 8-Bed Dormitory Room,,2,3 out of 5,,,,"VND 300,000",
The Marron Hotel,"19.749061,105.908745",,,Twin Room,,2,3 out of 5,7.5,Good,34 reviews,"VND 650,000",Breakfast included
Camellia Hotel,"19.785268,105.776319",,,Deluxe Double Room,,2,,8.6,Fabulous,113 reviews,"VND 220,000",
Royal Hotel Sầm Sơn,"19.735744,105.899952",,,Superior Double Room,,2,,7.0,Good,10 reviews,"VND 950,000",
Hoang Gia Hotel,"19.8137496605485,105.79361679364",,,Standard King Room,,2,2 out of 5,7.4,Good,68 reviews,"VND 249,900",
Khách sạn Hercurry FLC Sầm Sơn,"19.7673616904878,105.918564975142",,,Twin Room with View,,2,4 out of 5,7.3,Good,16 reviews,"VND 630,000","Breakfast included,FREE cancellation,• No prepayment needed"
Bamboo Hotel,"19.758565,105.91414",,,Deluxe Double Room (2 Adults + 1 Child),,4,3 out of 5,9.1,Superb,9 reviews,"VND 800,000",Breakfast included
Ivy Hotel - Hai Tien,"19.8393403795325,105.934566054493",,,Deluxe Double Room,,2,3 out of 5,,,,"VND 350,000",
Khách Sạn Ngọc Ly 3,"19.809391,105.7793",,,Standard King Room,,2,2 out of 5,6.1,Review score,25 reviews,"VND 294,000",
KHÁCH SẠN NGỌC LY 5,"19.805274,105.783494",,,Economy Double Room,,2,1 out of 5,,,,"VND 247,350",
KHÁCH SẠN NGỌC LY 8,"19.809391,105.7793",,,Standard King Room,,2,2 out of 5,7.0,Good,16 reviews,"VND 312,269",
Minh Hang Hotel 2,"19.7778196309738,105.769631922615",,,Double Room with Mountain View,,2,,9.5,Exceptional,4 reviews,"VND 219,000",
