hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Tung Duong Hotel,"21.5945409110637,105.826734729469",1.8 km from centre,,King Room,,2,3 out of 5,8.5,Very good,13 reviews,"VND 650,000",
Dong A Plaza,"21.5778238841169,105.832595515749",2 km from centre,,Deluxe Queen Studio,,2,4 out of 5,6.4,Review score,57 reviews,"VND 1,150,000",Breakfast included
Kim Thai Hotel,"21.5945052,105.8374434",750 m from centre,,Deluxe Suite,,2,3 out of 5,8.2,Very good,84 reviews,"VND 1,800,000",Breakfast included
Habana Hotel Thai Nguyen,"21.577807,105.814976",3.5 km from centre,,Economy Double Room,,2,3 out of 5,7.0,Good,21 reviews,"VND 610,000",Breakfast included
Đông Dương Hotel,"21.5849889165709,105.826697746819",2 km from centre,,Standard Double Room,,2,3 out of 5,8.0,Very good,48 reviews,"VND 540,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hoang Yen Hotel,"21.598363,105.824957",2.1 km from centre,,Deluxe Room,,2,1 out of 5,7.4,Good,43 reviews,"VND 405,000",
Rosa Villa Hotel & Apartment,"21.5791133240469,105.834775428589",1.8 km from centre,,Superior Apartment,,2,3 out of 5,8.9,Fabulous,33 reviews,"VND 800,000","FREE cancellation,• No prepayment needed"
Queen Hotel Hoàng Gia,"21.57955,105.814758",3.4 km from centre,,Deluxe Double Room,,2,3 out of 5,9.0,Superb,5 reviews,"VND 500,000",
Galaxy Hotel Thai Nguyen,"21.419243,105.895104",20 km from centre,,Junior Suite,,3,3 out of 5,8.3,Very good,11 reviews,"VND 1,102,000",Breakfast included
Da Huong Hotel,"21.5977242321866,105.823708176613",2.2 km from centre,,Standard Twin Room,,2,3 out of 5,6.0,Review score,9 reviews,"VND 425,000",
Ha Thai Ecolodge Nui Coc lake,"21.5944000667163,105.682084369892",16 km from centre,,Triple Room with Lake View,,3,,5.6,Review score,6 reviews,"VND 450,000",
Hoang Nong farmstay - Cua Tu waterfall,"21.6180166442004,105.561519306648",29 km from centre,,Mixed Dormitory Room,,2,,8.9,Fabulous,17 reviews,"VND 600,000",
Khách sạn Hữu Nghị Thái Nguyên,"21.60182,105.822748",2.5 km from centre,,Double Room,,2,2 out of 5,,,,"VND 350,000",
Nam Homestay,"21.6290532915959,105.833592330776",4.2 km from centre,,Double Room,,2,,8.5,Very good,12 reviews,"VND 900,000",Breakfast included
Khách sạn Đông Á 1,"21.589676,105.830238",1.5 km from centre,,Family Room,,4,2 out of 5,,,,"VND 600,000",Breakfast included
Nhà nghỉ Happynight,"21.6024398351607,105.825563827339",2.2 km from centre,,King Room,,2,,,,,"VND 225,000",
KORINN PHO YEN HOTEL II,"21.413875,105.848618",19 km from Thái Nguyên,,Deluxe Double Room,,2,3 out of 5,,,,"VND 1,000,000",Breakfast included
KORINN PHO YEN HOTEL,"21.412534,105.883508",20 km from Thái Nguyên,,Deluxe Room,,2,3 out of 5,,,,"VND 1,000,000",Breakfast included
