hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mekong Riverside Boutique Resort & Spa,"10.3236696250861,106.017731130123",,,Bungalow with Garden View,,2,4 out of 5,8.2,Very good,94 reviews,"VND 1,800,000","Breakfast included,FREE cancellation,• No prepayment needed"
Song Tien Hotel,"10.3556078793125,106.367965936661",,,Standard Twin Room,,2,2 out of 5,7.3,Good,40 reviews,"VND 406,600","FREE cancellation,• No prepayment needed"
Rang Dong Hotel,"10.351362803937,106.355330049992",,,Quadruple Room with City View,,2,,6.2,Review score,133 reviews,"VND 350,000",
Minh Kieu 2 Hotel,"10.3705839682729,106.366137334091",,,Double Room,,2,2 out of 5,7.3,Good,45 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Tintin farmstay,"10.549075027148,106.198755688824",,,Deluxe Double Room,,2,,8.5,Very good,4 reviews,"VND 1,800,000",Breakfast included
Song Tien Annex Hotel,"10.3542965328168,106.366844773293",,,Superior Twin Room,,2,1 out of 5,6.4,Review score,28 reviews,"VND 406,600","FREE cancellation,• No prepayment needed"
Cuu Long Hotel,"10.3527937114541,106.367234124706",,,Deluxe Double Room,,2,3 out of 5,8.2,Very good,150 reviews,"VND 1,200,000","Breakfast included,FREE cancellation,• No prepayment needed"
The Island Lodge,"10.3292342518788,106.297838899757",,,King Room with Pool View,,2,,9.3,Superb,54 reviews,"VND 5,084,917",Breakfast included
Nam Thi Holiday Home,"10.3383039970129,106.030629873276",,,One-Bedroom Bungalow - Loft,,2,3 out of 5,8.8,Fabulous,59 reviews,"VND 930,000",Breakfast included
Minh Kieu Hotel,"10.3562954471494,106.363408786166",,,Double Room,,2,2 out of 5,7.2,Good,42 reviews,"VND 400,000",
7s Hotel Hoang Yen My Tho,"10.3787101585624,106.342350782959",,,Superior Queen Room,,2,2 out of 5,,,,"VND 400,000",
Lang Xanh Ecotourism Homestay,"10.3151645077649,106.314561228172",,,Double Room with Garden View,,2,,,,,"VND 650,000",Breakfast included
Thach Thao homestay,"10.3791036603981,106.321162079693",,,Standard Double Room,,2,,9.2,Superb,137 reviews,"VND 270,000",
Minh Tai Hotel,"10.3567115894801,106.367443388852",,,Double Room,,2,1 out of 5,7.9,Good,60 reviews,"VND 300,000",
Sao Mai Hotel,"10.3441723673835,106.022231889666",,,Double Room,,2,1 out of 5,9.5,Exceptional,227 reviews,"VND 466,352",
Mekong Ecolodge Bungalow,"10.3179117392256,106.052173376084",,,Double Room with Garden View,,2,3 out of 5,7.1,Good,27 reviews,"VND 850,000","Breakfast included,FREE cancellation,• No prepayment needed"
Aurora Mekong Hotel,"10.3618769135094,106.038290216633",,,Deluxe Double Room,,2,3 out of 5,7.8,Good,9 reviews,"VND 530,000","FREE cancellation,• No prepayment needed"
Nhà nghỉ Gia Thịnh,"10.3062545169293,106.395497801786",,,Double Room with Private Bathroom,,2,,,,,"VND 170,000",
Cona Hotel Cồn Phụng Bến Tre,"10.329901,106.366098",,,Double Room with Private Bathroom,,2,,,,,"VND 500,000",Breakfast included
Hong thai River side homestay,"10.330651069317,106.388460532685",,,Deluxe Triple Room,,4,,9.3,Superb,34 reviews,"VND 500,000",Breakfast included
S'Bungalow Bến Tre,"10.333599,106.375815",,,Standard Bungalow,,2,,,,,"VND 2,082,500","Breakfast & dinner included,FREE cancellation,• No prepayment needed"
Forever Green Resort,"10.284011437753,106.384735107422",,,Superior Double or Twin Room,,2,4 out of 5,8.0,Very good,12 reviews,"VND 1,760,000",Breakfast included
Quoc Phuong Riverside Homestay,"10.3133583960471,106.262394189834",,,Bungalow with Patio,,2,,9.5,Exceptional,507 reviews,"VND 495,000","Breakfast included,FREE cancellation,• No prepayment needed"
Nhà nghỉ Hoa Viên (Hoa Viên Gueshouse Bến Tre),"10.257213,106.377693",,,Double Room,,2,,6.5,Review score,74 reviews,"VND 158,400",
Mekong Hotel & Restaurant,"10.2564683913408,106.363588571548",,,Superior Double Room,,2,2 out of 5,6.5,Review score,120 reviews,"VND 415,000",
Que Huong Coconut Hotel,"10.2580489346187,106.385863726875",,,Deluxe Double Room,,2,,7.2,Good,29 reviews,"VND 240,000",
khách sạn Huỳnh Thảo,"10.240372,106.343436",,,Superior Double Room,,2,,8.9,Fabulous,61 reviews,"VND 810,000","Breakfast included,FREE cancellation,• No prepayment needed"
DIAMOND STARS BEN TRE HOTEL,"10.234447,106.374271",,,Suite,,2,4 out of 5,8.8,Fabulous,40 reviews,"VND 3,000,800",Breakfast included
Viet Uc Hotel,"10.2345696,106.3750329",,,Superior Double Room,,2,3 out of 5,6.9,Review score,30 reviews,"VND 850,000",Breakfast included
Ben Tre Riverside Resort,"10.2226776466876,106.3498022",,,Superior Double or Twin Room with City View,,2,4 out of 5,8.3,Very good,257 reviews,"VND 1,026,000",Breakfast included
Nguyet Que Homestay,"10.2271594456876,106.405479308906",,,Double Room,,2,,9.6,Exceptional,246 reviews,"VND 472,000",Breakfast included
Charming Countryside Homestay,"10.2278987909176,106.392545700073",,,Double Room,,2,,9.5,Exceptional,109 reviews,"VND 1,200,000",Breakfast included
HÒANG HÔN HOMESTAY,"10.2180400486799,106.359429479485",,,Deluxe King Room,,2,,8.9,Fabulous,10 reviews,"VND 280,000",
My An Resort,"10.2140142612661,106.357634067535",,,Double Room with River View,,2,,7.3,Good,49 reviews,"VND 373,000",
california homestay,"10.213117,106.399366",,,Apartment with Garden View,,2,,,,,"VND 4,800,000","Breakfast & dinner included,FREE cancellation,• No prepayment needed"
Xóm Dừa Nước,"10.2156131732925,106.374493024467",,,King Room,,2,,8.5,Very good,3 reviews,"VND 549,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hung Long Hotel,"10.217511,106.442465",,,Double Room,,2,,8.2,Very good,34 reviews,"VND 500,000",
