hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
KHÁCH SẠN NGỌC HƯNG,"10.23433,105.966426",,,Suite with City View,,2,3 out of 5,8.7,Fabulous,37 reviews,"VND 851,400",
Thien Thanh Hotel,"10.2544242605513,105.97447693084",,,Standard Double Room,,2,,7.8,Good,93 reviews,"VND 230,000",
mekong riverside homestay,"10.2636039057789,105.960784136307",,,Deluxe Family Room,,3,3 out of 5,9.0,Superb,443 reviews,"VND 300,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn Cửu Long,"10.257489,105.97151",,,Standard Twin Room with Garden View,,2,3 out of 5,,,,"VND 495,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn Sài Gòn Vĩnh Long,"10.25612,105.968936",,,Superior Twin Room with City View,,2,4 out of 5,8.6,Fabulous,68 reviews,"VND 1,263,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách Sạn Phước Hưng,"10.245736,105.978272",,,Large Double Room,,2,,8.3,Very good,6 reviews,"VND 225,000",
Happy Family Guesthouse,"10.324461260181,105.983664393425",,,Twin Room,,2,,8.9,Fabulous,223 reviews,"VND 208,800",Breakfast included
Nhà trọ PHÚ QUÍ,"10.047513957839,105.833371314896",,,Deluxe Room (2 Adults + 1 Child),,2,,,,,"VND 150,000",
Phuong Thao Homestay,"10.2622828236408,105.969735682011",,,Standard Double Room,,2,,8.6,Fabulous,185 reviews,"VND 370,000",Breakfast included
MEKONG NATURE LODGE,"10.277688,105.95248",,,Double Room with Lake View,,2,,7.8,Good,6 reviews,"VND 765,000",Breakfast included
An Loc Motel,"10.2594903294051,105.992505648163",,,Large Double Room,,2,,6.1,Review score,8 reviews,"VND 100,000",
Ngoc Phuong Homestay,"10.2649155148898,105.963035523892",,,Bungalow with Garden View,,2,,8.8,Fabulous,238 reviews,"VND 350,000",Breakfast included
khách sạn Cửu Long B,"10.253257,105.976844",,,Standard Double or Twin Room with Garden View,,2,3 out of 5,6.6,Review score,11 reviews,"VND 467,500",Breakfast included
Nam Thanh Homestay,"10.2626109764398,105.968603789806",,,Budget Double Room,,2,,8.6,Fabulous,156 reviews,"VND 325,000","Breakfast included,FREE cancellation,• No prepayment needed"
Homestay Ngoc Sang,"10.263552,105.964508",,,Double Room with Garden View,,2,,9.3,Superb,164 reviews,"VND 350,000",Breakfast included
Binh Minh Eco Lodge,"10.0529676203604,105.803940811132",,,Double Room with Lake View,,2,,9.7,Exceptional,63 reviews,"VND 2,500,000",Breakfast included
