hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Flamingo Dai Lai Resort,"21.338954544728,105.720872282982",,,Hilltop Villa,,2,5 out of 5,7.8,Good,286 reviews,"VND 2,025,000",Breakfast included
Anh Minh Hotel,"21.4547440056564,105.64562022686",,,Double Room,,2,2 out of 5,8.0,Very good,186 reviews,"VND 600,000",
FLAMINGO DAI LAI RESORT - luxury,"21.3400174,105.7176269",,,King Room with Lake View,,2,4 out of 5,7.4,Good,17 reviews,"VND 2,255,000",Breakfast included
Hanvet Tam Đảo Hotel,"21.454314008722,105.645250082016",,,Double Room with Balcony,,2,2 out of 5,7.6,Good,86 reviews,"VND 450,000",
Le vent Homestay Tam Đảo,"21.451812,105.637829",,,Deluxe Double Room,,2,3 out of 5,9.1,Superb,43 reviews,"VND 950,000",Breakfast included
Homestay 90s Tam Dao,"21.4526342398812,105.640784329804",,,Double Room with Private Bathroom,,2,,8.6,Fabulous,139 reviews,"VND 540,000",
Khách Sạn Cây Thông,"21.454633,105.643819",,,Double or Twin Room with Mountain View,,4,2 out of 5,7.0,Good,251 reviews,"VND 500,000",
Blue Moon Tam Đảo,"21.4547630189548,105.641574486755",,,Double Room with Private Bathroom,,2,,8.0,Very good,9 reviews,"VND 650,000",
Manh Quan Luxury Hotel,"21.3108278659143,105.583471598003",,,Superior King Room,,2,3 out of 5,9.1,Superb,27 reviews,"VND 630,000",Breakfast included
Roses Villa -Biệt thự hoa hồng Tam đảo,"21.451234301325,105.639534954074",,,Apartment - Split Level,,2,3 out of 5,7.7,Good,39 reviews,"VND 500,000",
FLC Luxury Resort Vinh Phuc,"21.1810804579767,105.486398935318",,,Deluxe Double Room,,2,4 out of 5,8.0,Very good,108 reviews,"VND 1,560,000",Breakfast included
Nam A Hotel,"21.4547461899627,105.644724369049",,,Deluxe Double Room,,2,3 out of 5,7.5,Good,226 reviews,"VND 700,000","FREE cancellation,• No prepayment needed"
Flamingo Happy Villa Owner,"21.3387721666992,105.71698576212",,,One-Bedroom Villa,,3,3 out of 5,6.8,Review score,72 reviews,"VND 1,170,000",
Flamingo Villa Happy BT,"21.3357319224091,105.713149",,,One-Bedroom Villa,,2,3 out of 5,7.0,Good,30 reviews,"VND 1,450,000",
PARADISE HOTEL,"21.454304,105.646244",,,Standard Double Room,,2,3 out of 5,7.5,Good,86 reviews,"VND 600,000","FREE cancellation,• No prepayment needed"
Trung Du Hotel,"21.2963871755424,105.632328875363",,,Double Room,,2,3 out of 5,7.2,Good,45 reviews,"VND 450,000","Breakfast included,FREE cancellation,• No prepayment needed"
*BOM HOMES* FLAMINGO ĐAI LAI RESORT,"21.3391781,105.7226479",,,One-Bedroom Villa,,2,,4.7,Review score,3 reviews,"VND 2,600,000",
Westlake Hotel & Resort Vinh Phuc,"21.2995006490263,105.611502528191",,,Deluxe Double Room,,2,5 out of 5,7.8,Good,50 reviews,"VND 1,049,999",Breakfast included
Ầu ơ - a retro homestay by Sky garden Tamdao,"21.457958616797,105.645808823485",,,Double Room,,2,,8.9,Fabulous,7 reviews,"VND 500,000",Breakfast included
Royal Huy Hotel Tam Dao,"21.4666483009944,105.636892318726",,,Superior Double Room,,2,4 out of 5,6.7,Review score,157 reviews,"VND 852,500","FREE cancellation,• No prepayment needed"
Royal Huy Hotel Vinh Phuc,"21.304569991977,105.594510813398",,,Superior Twin Room,,2,4 out of 5,7.7,Good,36 reviews,"VND 783,000","Breakfast included,FREE cancellation,• No prepayment needed"
Belvedere Tam Dao Resort,"21.4543935800936,105.64240694046",,,Standard Double or Twin Room with Garden View,,2,4 out of 5,5.9,Review score,64 reviews,"VND 1,469,011",Breakfast included
Du thuyền Tam Đảo,"21.4529959027452,105.640528212589",,,One-Bedroom Chalet,,2,,7.8,Good,10 reviews,"VND 800,000",Breakfast included
Ngan Ha Hotel,"21.457076,105.64548",,,King Room with Mountain View,,2,,7.2,Good,76 reviews,"VND 810,000","FREE cancellation,• No prepayment needed"
Thang Loi Tam Dao Hotel,"21.4557522155565,105.64049988985",,,Standard King Room,,2,,6.9,Review score,364 reviews,"VND 765,000","FREE cancellation,• No prepayment needed"
Ngoc Huyen Hotel,"21.453101,105.64525",,,Comfort Quadruple Room,,4,2 out of 5,8.2,Very good,46 reviews,"VND 600,000",
Flamingo Villa Owner_ Villa in Đại Lải Vĩnh Phúc,"21.3370115,105.7180228",,,One-Bedroom Villa,,3,3 out of 5,6.7,Review score,49 reviews,"VND 1,044,000",
Tam Đảo Gold Hotel,"21.4560411444235,105.64730636742",,,Double or Twin Room with Mountain View,,2,,6.7,Review score,92 reviews,"VND 600,000","FREE cancellation,• No prepayment needed"
KHÁCH SẠN NGỌC HÀ ĐẠI LẢI,"21.339303,105.717377",,,Standard King Room,,2,2 out of 5,,,,"VND 500,000",
