hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Hoang Phat Hotel,"10.337728,107.090675",1.4 km from centre,Beachfront,Standard Double Room,,2,,8.2,Very good,6 reviews,"VND 270,564","FREE cancellation,• No prepayment needed"
The Imperial Hotel Vung Tau,"10.3439823508409,107.095010876656",1.2 km from centre,Beachfront,Deluxe Double Room,,2,5 out of 5,8.4,Very good,719 reviews,"VND 2,501,730",
Pullman Vung Tau,"10.34872,107.094469",1.1 km from centre,,Superior Twin Room with City View,,2,5 out of 5,8.1,Very good,856 reviews,"VND 2,353,890",Breakfast included
Star Hotel,"10.3386763782648,107.089167013764",1.1 km from centre,Beachfront,Standard Double Room,,2,1 out of 5,7.6,Good,"1,858 reviews","VND 180,000","FREE cancellation,• No prepayment needed"
Vung Tau Melody Apartment,"10.33699,107.086244",1.2 km from centre,Beachfront,Two-Bedroom Apartment,,6,3 out of 5,8.7,Fabulous,467 reviews,"VND 581,000",
ibis Styles Vung Tau,"10.3363039,107.0906818",1.4 km from centre,Beach nearby,Standard Twin Room,,2,,8.4,Very good,396 reviews,"VND 1,636,519",Breakfast included
Malibu Hotel,"10.3474651751468,107.095010206868",1.2 km from centre,Beach nearby,Deluxe Twin Room,,2,4 out of 5,8.7,Fabulous,378 reviews,"VND 1,828,500",Breakfast included
Fusion Suites Vung Tau,"10.341833,107.075615",1.2 km from centre,Beach nearby,Fusion Twin Suite with City View - Spa Inclusive,,2,4 out of 5,8.2,Very good,308 reviews,"VND 2,624,400",Breakfast included
Nolis Hotel,"10.333792,107.089657",1.6 km from centre,Beach nearby,Superior Double Room (No Window),,2,3 out of 5,7.5,Good,550 reviews,"VND 767,385",Breakfast included
DIC Star Landmark,"10.350399,107.096597",1.4 km from centre,Beach nearby,Two-Bedroom Apartment,,4,4 out of 5,7.8,Good,225 reviews,"VND 2,646,000",Breakfast included
SeaSala Vung Tau Hotel,"10.3358869713876,107.086687982082",1.4 km from centre,Beachfront,Standard Double Room,,2,2 out of 5,8.3,Very good,909 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Marina Bay Vung Tau Resort & Spa,"10.386664,107.061501",5 km from centre,Beach nearby,Premier Double Room with Ocean View,,2,5 out of 5,8.6,Fabulous,436 reviews,"VND 3,406,050",Breakfast included
Léman Cap Resort & Spa,"10.3298653213956,107.077003604893",2.1 km from centre,Beach nearby,Deluxe Double Room,,2,4 out of 5,8.2,Very good,511 reviews,"VND 1,290,000",Breakfast included
Hai Long Hotel,"10.3332269940533,107.087634921149",1.6 km from centre,Beach nearby,Economy Double Room,,2,2 out of 5,8.4,Very good,357 reviews,"VND 300,000",
Annata Hotel Vung Tau,"10.339264,107.092322",1.3 km from centre,Beach nearby,Standard Twin Room,,2,3 out of 5,8.0,Very good,377 reviews,"VND 513,000",
Hai Duong Intourco Resort,"10.3528653404402,107.103058286322",2.1 km from centre,Beachfront,Superior Hotel Room with Terrace - Parking views,,2,3 out of 5,8.3,Very good,362 reviews,"VND 1,213,800",
The Cap Hotel,"10.350761,107.098709",1.6 km from centre,Beach nearby,Standard Twin Room,,2,4 out of 5,8.3,Very good,68 reviews,"VND 1,400,000",Breakfast included
Lotus Vung Tau Resort & Spa,"10.3475160979538,107.097658216953",1.4 km from centre,Beach nearby,Senior Deluxe Double or Twin Room,,2,4 out of 5,7.2,Good,186 reviews,"VND 1,096,500","Breakfast included,FREE cancellation,• No prepayment needed"
Mercure Vung Tau,"10.3263453436922,107.081492543221",2.4 km from centre,Beachfront,Standard Queen Room Hillside,,2,,8.4,Very good,190 reviews,"VND 2,817,160",Breakfast included
SeaSala Hotel,"10.3387058319648,107.089192050926",1.1 km from centre,Beachfront,Double Room,,2,1 out of 5,7.9,Good,757 reviews,"VND 275,000",
Hotel Hoai Anh,"10.3331065868906,107.087027238558",1.6 km from centre,Beachfront,Standard King Room,,2,1 out of 5,8.8,Fabulous,"1,237 reviews","VND 180,000",
BELLA VT HOTEL,"10.338171,107.08899",1.2 km from centre,Beach nearby,Standard King Room,,2,2 out of 5,8.4,Very good,671 reviews,"VND 483,750","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn San Hô Vũng Tàu (Coral Hotel),"10.3463135597679,107.095464169979",1.2 km from centre,Beachfront,Superior Double Room,,2,3 out of 5,7.3,Good,264 reviews,"VND 675,000","FREE cancellation,• No prepayment needed"
Vung Tau Intourco Resort,"10.3525890477648,107.102663218975",2.1 km from centre,Beachfront,Superior Twin Room with Garden View,,2,4 out of 5,7.8,Good,202 reviews,"VND 1,224,000",
Căn hộ Melody Vũng Tàu,"10.3369903,107.0862444",1.2 km from centre,Beachfront,One-Bedroom Apartment,,2,4 out of 5,9.1,Superb,347 reviews,"VND 680,400",
Vung Tau Intourco Resort,"10.3525890477648,107.102663218975",2.1 km from centre,"Beachfront,Private beach",Superior Twin Room with Garden View,,2,4 out of 5,7.8,Good,202 reviews,"VND 1,224,000",
