,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
0,Italy,"This gorgeous wine opens with fragrant aromas of violet, wild berry, new leather, tilled earth and spice. Showing the estate's hallmark elegance, structure and precision, the focused, full-bodied palate delivers cherry, crushed raspberry, star anise and tobacco before finishing on a note of black tea. Taut, refined tannins and bright acidity keep it vibrant and balanced. Drink 2024–2046.",,100,99,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Le Chiuse 2016  Brunello di Montalcino,Sangiovese,Le Chiuse
1,France,"With its rich swathe of Cabernet Sauvignon, this wine has density and immense structure balanced by stunning black fruits that give impressive promise. This powerful wine is probably the greatest ever produced from this estate. Drink from 2027.",,100,245,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Figeac 2018  Saint-Émilion,Bordeaux-style Red Blend,Château Figeac
2,France,"This great estate in southern Pauillac, facing the Latour vineyard, is at the top of its game. In this release, the tannins are as impressive and dense as the black fruits. Together they form a harmonious ensemble, richly structured, concentrated from the many old vines in the blend, and very ageworthy. Drink from 2027.",,100,222,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pichon Baron 2018  Pauillac,Bordeaux-style Red Blend,Château Pichon Baron
3,Italy,"This dazzling wine is for Sangiovese purists and fans of extreme finesse. Opening with tantalizing aromas of rose, violet, berry, tilled earth and new leather, it's youthfully intense but already a classic. Focused, structured and radiant, the chiseled palate delivers cherry, raspberry, licorice and crushed mint before a tobacco close. Taut, refined tannins and bright acidity keep it perfectly balanced. Drink 2026–2046.",Madonna delle Grazie,100,350,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Il Marroneto 2016 Madonna delle Grazie  (Brunello di Montalcino),Sangiovese,Il Marroneto
4,France,Vintage 2018 was generous to the style of Ducru-Beaucaillou. The rich character of wines from this estate is enhanced by the ripeness and concentration of this wine. At the same time it keeps an amazing freshness that comes out of the acidity. This wine will go down in the annals of this historic estate. It is not likely to approach drinkability before 2028.,,100,200,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Ducru-Beaucaillou 2018  Saint-Julien,Bordeaux-style Red Blend,Château Ducru-Beaucaillou
5,Italy,"Earthy aromas of blue flower, rose, underbrush and leather mingle together on this gorgeous, fragrant red. All about finesse and flavor, the medium-bodied palate is absolutely delicious, featuring juicy morello cherry, crushed raspberry, baking spice, star anise and the barest hint of game. It's radiant and beautifully balanced thanks to taut, polished tannins and bright acidity. It's already showing incredibly well but hold for even more complexity. Drink 2022–2036.",,99,139,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Le Potazzine 2016  Brunello di Montalcino,Sangiovese,Le Potazzine
6,France,"Dense structure, powerful tannins and intense black fruits are contained within this wine that shows richness and sustained concentration as well as amazing freshness. The 86% Cabernet Sauvignon in the blend is the secret of this great wine that is sure to age magnificently. Don't think about drinking before 2029.",,99,670,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Mouton Rothschild 2018  Pauillac,Bordeaux-style Red Blend,Château Mouton Rothschild
7,France,"This dense wine is almost black in color. Offering tannins and luscious black fruits, it is ripe with both structure and richness. The concentration and thought-provoking intensity are impressive. Drink this wine from 2028. Organic and biodynamic.",,99,343,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Palmer 2018  Margaux,Bordeaux-style Red Blend,Château Palmer
8,Italy,"This savory stunner has enticing scents of violet, rose and wild berry that gain complexity alongside notes of leather, camphor and sandalwood. The elegantly structured palate is all about precision, featuring juicy cherry, blood orange, star anise and tobacco framed in taut, refined tannins. Bright acidity keeps it energized. Drink 2024–2046.",,99,119,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Conti Costanti 2016  Brunello di Montalcino,Sangiovese,Conti Costanti
9,Italy,"Enticingly fragrant, this opens with heady aromas of rose, violet, new leather, truffle and balsamic whiffs of camphor. Vibrant and focused, the chiseled, elegant palate is all about finesse, delivering bright red cherry, orange zest, licorice and white pepper framed in taut, refined tannins. Bright acidity keeps it superbly balanced and fresh. It's already drinking beautifully but hold for even more complexity. Drink 2024–2036.",,99,112,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Fuligni 2016  Brunello di Montalcino,Sangiovese,Fuligni
10,France,"This famous estate at the southern end of Pauillac has produced a powerful wine. Packed blackberry fruits, laced with acidity, are just starting out on a long journey along with the tannins. The wine's elegance is beautifully preserved within the structure. With considerable potential, the wine should not be drunk before 2027.",,98,199,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Pichon Longueville Comtesse de Lalande 2018  Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande
11,Italy,"Fragrant, focused and loaded with finesse, this stunner has enticing scents of rose petal, camphor, tilled earth and perfumed berry. Vibrant and savory, the chiseled palate delivers juicy red cherry, pomegranate, star anise and savory mineral framed in taut, refined tannins. Bright acidity keeps it radiant and balanced. Drink 2024–2041.",,98,85,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Gianni Brunelli 2016  Brunello di Montalcino,Sangiovese,Gianni Brunelli
